,model,link,price,depreciation,reg_date,mileage,road_tax,coe,eng_cap,curb_weight,manufactured,transmission,omv,power,num_owners,type,category
0,BMW 1 Series 116d,info.php?ID=950050&DL=2913,"$77,800 ","                                $10,770 /yrView models with similar depre ",26-Jul-2017(6yrs 7mths 9days COE left)                            ,"                                        76,600 km (22.6k /yr)                                     ","                                    	$1,082 /yr","$44,002","1,496 cc                                    ","                                    1,350 kg                                    ",2017,Auto,"$25,894",85.0 kW (113 bhp),1,Hatchback,"Category
PARF Car "
1,Toyota Wish 1.8A (COE till 11/2022),info.php?ID=928124&DL=1220,"$15,500 ","                                $8,200 /yr                            ",07-Nov-2007(1yr 10mths 21days COE left)                            ,"                                        172,000 km (13.1k /yr)                                     ","                                    	$1,361 /yr","$25,084","1,794 cc                                    ","                                    1,300 kg                                    ",2007,Auto,"$16,527",97.0 kW (130 bhp),3,MPV,"Category
COE Car "
2,Audi TT Roadster 2.0A TFSI S-tronic (New 10-yr COE),info.php?ID=944820&DL=3125,"$83,800 ","                                $8,380 /yr                            ",23-Dec-2010(10yrs  COE left)                            ,                                        N.A.                                     ,"                                    	$1,194 /yr",N.A.,"1,984 cc                                    ","                                    1,315 kg                                    ",2009,Auto,"$54,102",147.0 kW (197 bhp),3,Sports Car,"Category
COE Car, Premium Ad Car "
3,BMW 5 Series 520i (New 10-yr COE),info.php?ID=941944&DL=1220,"$86,800 ","                                $8,680 /yr                            ",31-Oct-2011(10yrs  COE left)                            ,"                                        140,000 km (15.3k /yr)                                     ","                                    	$1,210 /yr",N.A.,"1,997 cc                                    ","                                    1,610 kg                                    ",2011,Auto,"$45,036",135.0 kW (181 bhp),1,Luxury Sedan,"Category
COE Car "
4,Honda Civic Type R 2.0M (COE till 03/2029),info.php?ID=952605&DL=1000,N.A ,                                N.A                            ,02-Jun-2009(8yrs 3mths 15days COE left)                            ,                                        N.A.                                     ,"                                    	$1,452 /yr","$33,018","1,998 cc                                    ","                                    1,270 kg                                    ",2008,Manual,"$34,597",165.0 kW (221 bhp),1,Sports Car,"Category
COE Car, Direct Owner Sale, Low Mileage Car "
5,Opel Astra 1.4A Turbo,info.php?ID=948131&DL=2913,"$59,800 ","                                $8,670 /yrView models with similar depre ",30-Dec-2016(6yrs 13days COE left)                            ,"                                        43,000 km (10.8k /yr)                                     ",                                    	$626 /yr,"$51,109","1,399 cc                                    ","                                    1,233 kg                                    ",2016,Auto,"$19,839",110.0 kW (147 bhp),2,Hatchback,"Category
PARF Car "
6,Toyota Harrier 2.0A Premium,info.php?ID=952563&DL=3269,"$83,888 ","                                $12,890 /yrView models with similar depre ",15-Apr-2016(5yrs 3mths 29days COE left)                            ,"                                        60,540 km (13k /yr)                                     ","                                    	$1,196 /yr","$50,089","1,986 cc                                    ","                                    1,610 kg                                    ",2016,Auto,"$30,993",111.0 kW (148 bhp),1,SUV,"Category
PARF Car, Premium Ad Car "
7,Volkswagen Golf 1.4A TSI,info.php?ID=952854&DL=1000,"$35,800 ","                                $13,360 /yrView models with similar depre ",28-May-2013(2yrs 5mths 11days COE left)                            ,                                        N.A.                                     ,                                    	$624 /yr,"$62,497","1,395 cc                                    ","                                    1,249 kg                                    ",2013,Auto,"$20,925",90.0 kW (120 bhp),2,Hatchback,"Category
PARF Car, Direct Owner Sale "
8,BMW 2 Series 216d Active Tourer,info.php?ID=947953&DL=2913,"$82,800 ","                                $10,730 /yrView models with similar depre ",22-Aug-2017(6yrs 8mths 5days COE left)                            ,"                                        70,000 km (21.1k /yr)                                     ","                                    	$1,082 /yr","$46,778","1,496 cc                                    ","                                    1,395 kg                                    ",2017,Auto,"$28,674",85.0 kW (113 bhp),1,Hatchback,"Category
PARF Car "
9,Mercedes-Benz E-Class E200,info.php?ID=951907&DL=2913,"$91,800 ","                                $15,400 /yrView models with similar depre ",25-May-2015(4yrs 5mths 8days COE left)                            ,"                                        60,000 km (10.8k /yr)                                     ","                                    	$1,202 /yr","$76,612","1,991 cc                                    ","                                    1,655 kg                                    ",2014,Auto,"$42,793",135.0 kW (181 bhp),2,Luxury Sedan,"Category
PARF Car "
10,Maserati Ghibli 3.0A V6 GranSport,info.php?ID=952697&DL=1000,"$340,000 ","                                $31,360 /yrView models with similar depre ",10-Dec-2019(8yrs 11mths 23days COE left)                            ,"                                        9,000 km (8.8k /yr)                                     ","                                    	$2,362 /yr","$40,889","2,979 cc                                    ","                                    1,850 kg                                    ",2019,Auto,"$80,189",257.0 kW (344 bhp),1,Luxury Sedan,"Category
PARF Car, Direct Owner Sale, Rare & Exotic, Low Mileage Car "
11,Mitsubishi Evolution 10 GSR (COE till 09/2028),info.php?ID=952964&DL=3108,"$117,888 ","                                $15,150 /yr                            ",26-Sep-2008(7yrs 9mths 9days COE left)                            ,                                        N.A.                                     ,"                                    	$1,573 /yr","$33,377","1,998 cc                                    ","                                    1,520 kg                                    ",2007,Manual,"$29,946",206.0 kW (276 bhp),2,Sports Car,"Category
COE Car, Consignment Car "
12,Honda Civic 1.6A VTi (New 5-yr COE),info.php?ID=952969&DL=1194,"$36,800 ","                                $7,360 /yr                            ",01-Mar-2011(5yrs  COE left)                            ,                                        N.A.                                     ,                                    	$740 /yr,N.A.,"1,595 cc                                    ","                                    1,220 kg                                    ",2009,Auto,"$23,565",92.0 kW (123 bhp),2,Mid-Sized Sedan,"Category
COE Car, Premium Ad Car "
